ALB ,BSG 
CFD ,SMPDL3A 
CLU ,RYR1
LTF ,C1QA 
PKM ,RPSA 
KRT1 ,AZGP1 
EL52 ,FSTL1 
LGALS1 ,DCD 
PKM ,B2M 
NR3C1 ,RYR2 
CTSD ,APOA2 
ALB ,HSP90AA1
CP ,APOA2 
SERPING1 ,HSD17B12 
VTN ,CRISPLD2 
ICAM2 ,OR3A2 
CD36 ,PRDX5 
APOC3 ,EFNB2 
CRTAP ,SDF2 
LAMC1 ,PTPRJ 
LAMC1 ,SAR1A 
INHBA ,SLC1A5 
PSAP ,ITGA4 
CLU ,EFNB1 
C3 ,HYOU1 
ITGB4 ,ANXA2 
PSAP ,OR8D2 
SERPING1 ,TACSTD2 
SERPINA1 ,ALDOA 
NR3C1 ,CTSL 
ALDOA ,OR3A2 
PLXNB2 ,ITGA6
ITGB1 ,ITGAD 
TGFBR2 ,ATP1B3 
ALDOA ,CDH1 
APOA2 ,PNLIP 
RPSA ,OR3A2 
EGFR ,ITGA6
ITGB5 ,S100A4 
FGA ,DCC 
NR3C1 ,PPBP 
APOC3 ,CTSH 
F2 ,KLK3 
ALB ,SERPINE2
F2 ,AP2M1 
HEL111 ,PRDX4 
TFRC ,DCC 
VTN ,ITGB1
TF ,HNRNPM
CALU ,BTD 
F7 ,SLC1A5 
PKM ,PSAP 
CTSD ,KRT1 
LAMA5 ,ITGB1
P4HB ,MSR1 
KRT1 ,
ITGB5 ,LTB 
NR3C1 ,HMGB2 
ITGA5 ,GSN 
LDLR ,ITIH1 
FOLR1 ,THBS1 
APOE ,AOAH 
FOLR1 ,CFH 
CALU ,SLC1A5 
IGF2R ,AP2M1
ITGB1 ,SUSD2 
ITGA5 ,CFD 
HEL111 ,ALDOA 
ALB ,HNRNPM 
CFD ,B2M 
VTN ,ITGA2 
APOC1 ,FGFR2 
HSP90B1 ,HMGB1 
FGA ,STOML2 
SERPING1 ,COL5A1 
PKM ,HNRNPM
CALU ,SMPDL3A 
F2 ,ICAM4 
NR3C1 ,HSP90AA1
TFRC ,LAMA1 
ITGB1 ,ITGAL 
APOC1 ,AMBP 
FOLR1 ,F2 
HLA-A ,ANXA2 
LTF ,S100A7 
IL6R ,IL6 
IL6R ,IL6ST 
CD80 ,NGFR 
CD80 ,CD28 
CD80 ,CD86
CCR7 ,CCL21 
CCR7 ,CCL22 
CCR7 ,CCL19 
CCR4 ,CCL3 
CCR4 ,CCL5 
CCR4 ,GRK2 
CCL28 ,ACKR2 
CCL3 ,ACKR2 
BLR1 ,CCL5 
NPFFR2 ,HCRT 
ATP1B1 ,EGFR 
ATP1B1 ,ICAM1 
ATP1B1 ,S100A9 
ATP1B1 ,ALCAM 
APOC3 ,CP 
APOC3 ,APOC1 
APOC3 ,SERPING1 
APOC3 ,HEL111 
APOC3 ,ITGB5 
APOC3 ,CNMD 
APOC3 ,CNMD
APOC3 ,F2 
APOC3 ,CFD 
APOC3 ,CFB 
APOC3 ,CST3 
APOC3 ,APOA1 
APOC3 ,APOE 
APOC3 ,APOA2 
APOC3 ,APOC2 
APOC3 ,FGA 
APOC3 ,C1QA 
APOC3 ,C1QC 
APOC3 ,FN1 
APOC3 ,AHSG 
APOC3 ,ALB 
APOC3 ,PPBP 
APOC3 ,HPX 
APOC3 ,KRT1 
APOC3 ,GSN 
APOC3 ,KLK3 
APOC3 ,PRSS1 
APOC3 ,CTSL 
APOC3 ,CFH 
APOC3 ,F7 
APOC3 ,F7
APOC3 ,C4A 
APOC3 ,PF4V1 
APOC3 ,CLU 
APOC3 ,ITGA2 
APOC3 ,ITIH1 
APOC3 ,PRSS3 
APOC3 ,ADRA1B 
APOC3 ,DCC 
APOC3 ,OR3A2 
APOC3 ,DCD 
APOC3 ,SLC1A5 
APOC3 ,SLC1A5
APOC3 ,OR2T6 
APOC3 ,SMPDL3A 
APOC3 ,RYR2 
APOC3 ,OR8D2 
TGFBR2 ,TGFB3 
TGFBR2 ,TGFB1I1 
TGFBR2 ,TGFB1I1
TGFBR2 ,TGFB1 
TGFBR2 ,LRG1 
TGFBR2 ,TGFB1 
TGFBR2 ,CLU 
TGFBR2 ,CD44 
TGFBR2 ,CD44
TGFBR2 ,PDGFRA 
TGFBR2 ,ENG 
TGFBR2 ,ENG
TGFBR2 ,TGFBR1 
TGFBR2 ,TGFBR1
TGFBR2 ,ACVRL1 
TGFBR2 ,TGFB2 
TGFBR2 ,TGFBR3 
TGFBR2 ,SCUBE3 
LAMB4 ,SRPX 
LEP ,INS 
LEP ,A2M 
LEP ,CRP 
LEP ,CLU 
LEP ,CD33 
LEP ,LEPR 
LEP ,UCN 
LEP ,GHRL 
NPY ,PYY 
NPY ,PMCH 
NPY ,NPY1R 
NPY ,MC4R 
NPY ,NPY2R 
NPY ,NR1H2 
NPY ,NPY5R 
CD36 ,SERPINA1 
CD36 ,PLXNB2 
CD36 ,LAMA5 
CD36 ,CRTAP 
CD36 ,A2M 
CD36 ,PIGR 
CD36 ,COL1A1 
CD36 ,COL2A1
CD36 ,COL4A1 
CD36 ,TFRC 
CD36 ,ITGB1 
CD36 ,ITGAV 
CD36 ,CTSD 
CD36 ,PSAP 
CD36 ,THBS1 
CD36 ,COL1A2 
CD36 ,GUSB 
CD36 ,ITGA2B
CD36 ,COL4A2 
CD36 ,ITGA5 
CD36 ,CLU 
CD36 ,LAMC1 
CD36 ,IGF2R 
CD36 ,COL6A1 
CD36 ,FOLR1 
CD36 ,CD44 
CD36 ,M6PR 
CD36 ,COL5A1 
CD36 ,ITGA3 
CD36 ,L1CAM 
CD36 ,FBN1 
CD36 ,BSG 
CD36 ,BTD 
CD36 ,HSPA13 
CD36 ,PPT1 
CD36 ,ATP1B3 
CD36 ,LGALS3BP 
CD36 ,P3H1 
CD36 ,TREML2 
CD36 ,CD276 
CD36 ,SCARB1 
CD36 ,TSPEAR 
CD36 ,SIAE 
CD36 ,PCYOX1 
CD36 ,DPP7 
CD36 ,HYOU1 
CALCR ,MBL2 
SMO ,CACNA1A 
SMO ,PLPP3 
SMO ,EPHB6 
SMO ,TNFRSF8 
SMO ,PTCH1 
SMO ,LPAR4 
SMO ,LPAR2 
SMO ,WNT16 
SMO ,PTCH2 
CLECSF5 ,TYROBP
INHBA ,ACVR1 
INHBA ,INHA 
INHBA ,INHBB 
INHBA ,ACVR2A 
INHBA ,ACVR1B 
INHBA ,INHBC 
INHBA ,TGFBR3 
INHBA ,ACVR2B 
INHBA ,IGFBP7 
INHBA ,CHRDL2 
RAMP3 ,GPR182 
RAMP3 ,RAMP2 
RAMP3 ,ADM 
CP ,APOC1 
CP ,HEL111 
CP ,CNMD 
CP ,CNMD
CP ,PLG 
CP ,APOA1 
CP ,FGA 
CP ,C1QA 
CP ,C1QC 
CP ,FN1 
CP ,ALB 
CP ,KRT1 
CP ,SERPIND1 
CP ,KLK3 
CP ,CTSL 
CP ,CLU 
CP ,FGFR1 
CP ,ELN 
CP ,AOAH 
CP ,ADRA1B 
CP ,SAA4 
CP ,TGM4 
CP ,PAPPA 
CP ,ICAM4 
CP ,LTBP4 
CP ,SMPDL3A 
CP ,OR8D2 
TGFB3 ,ITGAV 
TGFB3 ,ITGB6 
TGFB3 ,SDC4 
TGFB3 ,TGFBR1 
TGFB3 ,TGFB2 
TGFB3 ,TGFBR3 
TGFB3 ,LTBP3 
TGFB3 ,LTBP3
MATN4 ,MATN3 
GABRA2 ,GABRA1 
GABRA2 ,GABRB1 
GABRA2 ,GABRG2 
GABRA2 ,GABRB3
GABRA2 ,GABRA3 
GABRA2 ,GABRB2
GABRA2 ,GABRA4 
GABRA2 ,GABRA6 
GABRA2 ,GABRG1 
GABRA2 ,GABRG3 
FGF13 ,CLEC3B 
C3AR1 ,C4A 
IL11 ,IL6ST
IL11 ,IL11RA
NR1B3 ,NR2B1 
NR1B3 ,RXRB 
NR1B3 ,IL24 
NR1B3 ,LSR 
BMP7 ,NOG 
ADIPOQ ,C1QA 
ADIPOQ ,CDH13 
ADIPOQ ,ADIPOR2 
CLCA1 ,APOA2 
CLCA1 ,PSAP 
CLCA1 ,CDH1 
CLCA1 ,GRN 
CLCA1 ,RYK 
IFNGR2 ,ANXA5 
A8K8M6,KLRC1 
A8K8M6,CALR 
A8K8M6,HLA-F
A8K8M6,KLRD1
A8K8M6,HLA-G 
TSPAN4 ,ITGB1
TSPAN4 ,CD46
TSPAN4 ,ITGA6
TSPAN4 ,ITGA3 
CD3G ,CD3E 
ADRA1D ,ADRA1A
AGT ,AGTR1 
AGT ,AGTR2 
NR3C2 ,EL52 
GH1 ,ANXA2 
GH1 ,GHR 
GH1 ,PRLR 
ANGPTL3 ,ITGA5 
UNC13B ,CRTAP 
UNC13B ,P3H1 
CPN1 ,KNG1
HLA-A ,LILRB2 
HLA-A ,HLA-B 
HLA-A ,TOR1A 
HLA-A ,CALU 
HLA-A ,LDLR 
HLA-A ,ERBB2
HLA-A ,APP 
HLA-A ,ITGB2 
HLA-A ,P4HB 
HLA-A ,MS4A1 
HLA-A ,ITGA4 
HLA-A ,HSP90B1 
HLA-A ,CALR 
HLA-A ,KIR3DL2 
HLA-A ,HSPA13 
HLA-A ,EFEMP1 
HLA-A ,PON2 
HLA-A ,SDF2 
HLA-A ,LILRB1 
HLA-A ,SDF4 
HLA-A ,ERP44 
HLA-A ,SDF2L1 
HLA-A ,HYOU1 
LYZ ,ESR1 
LYZ ,EECP 
LYZ ,LTF 
LYZ ,ANXA1 
LYZ ,ELANE 
LYZ ,CTSG 
LYZ ,PIP 
LYZ ,DEFA4 
LYZ ,PRTN3 
LYZ ,DEFA1 
LYZ ,DEFA3 
LYZ ,PLA2G7 
LYZ ,ESR2 
LYZ ,IL25 
LYZ ,DMBT1 
ST6GAL1 ,HSP90B1 
APOC1 ,SERPING1 
APOC1 ,HEL111 
APOC1 ,ITGB5 
APOC1 ,CNMD 
APOC1 ,CNMD
APOC1 ,F2 
APOC1 ,HP 
APOC1 ,CFD 
APOC1 ,PLG 
APOC1 ,CFB 
APOC1 ,CST3 
APOC1 ,APOA1 
APOC1 ,APOE 
APOC1 ,APOA2 
APOC1 ,APOC2 
APOC1 ,FGA 
APOC1 ,C1QA 
APOC1 ,C1QC 
APOC1 ,FN1 
APOC1 ,AHSG 
APOC1 ,ALB 
APOC1 ,PPBP 
APOC1 ,TF 
APOC1 ,HPX 
APOC1 ,KRT1 
APOC1 ,SERPIND1 
APOC1 ,GSN 
APOC1 ,KLK3 
APOC1 ,PRSS1 
APOC1 ,CTSL 
APOC1 ,CFH 
APOC1 ,F7 
APOC1 ,F7
APOC1 ,C4A 
APOC1 ,PF4V1 
APOC1 ,CLU 
APOC1 ,FGFR1 
APOC1 ,ELN 
APOC1 ,ITGA2 
APOC1 ,ITIH1 
APOC1 ,AOAH 
APOC1 ,PRSS3 
APOC1 ,ADRA1B 
APOC1 ,SAA4 
APOC1 ,DCC 
APOC1 ,OR3A2 
APOC1 ,TGM4 
APOC1 ,GDF10 
APOC1 ,DCD 
APOC1 ,PAPPA 
APOC1 ,ICAM4 
APOC1 ,SLC1A5 
APOC1 ,SLC1A5
APOC1 ,LTBP4 
APOC1 ,OR2T6 
APOC1 ,SMPDL3A 
APOC1 ,RYR2 
APOC1 ,OR8D2 
APOC1 ,GABBR1 
CCRL2 ,CCL19 
OXTR ,OXT 
OXTR ,AVP 
ADAM17 ,TGFA 
ADAM17 ,APP 
ADAM17 ,ITGB1 
ADAM17 ,EPHB2 
ADAM17 ,TIMP3 
ADAM17 ,NOTCH1 
ADAM17 ,JAG1 
ADAM17 ,DLG1 
ADAM17 ,DLG1
ADAM17 ,ERBB4
ERBIN ,ERBB2
ERBIN ,CDH2 
PLAT ,SERPINE1 
PLAT ,LAMA1 
PLAT ,LRP1B 
NR1D2 ,NR1D1 
NR1H4 ,NR2B1 
NR1H4 ,NR2B3 
NR1H4 ,RXRG 
NR1H4 ,ESR1 
LTBP1 ,CACNA1A 
LTBP3 ,CACNA1A 
AgRP ,MC4R 
AgRP ,MC5R 
AgRP ,MC3R 
FGF10 ,POMC 
FGF10 ,FGFR2 
FGF10 ,FGFR2
FGF10 ,FGFR2
FGF10 ,FGFBP1 
BMP2 ,MGP 
BMP2 ,BMP4 
BMP2 ,BMPR1A 
BMP2 ,TGFB2 
BMP2 ,NOG 
BMP2 ,ACVR2B 
BMP2 ,BMPR2 
BMP2 ,CHRDL2 
BMP2 ,CHRDL2
BMP2 ,TWSG1 
BMP2 ,GREM2 
LILRB2 ,HLA-C 
CRLF2 fusion ,TSLP 
CCL5 ,ACKR2 
CCL5 ,PIGR 
CCL5 ,CXCL8 
CCL5 ,VCAN 
CCL5 ,CXCL2 
CCL5 ,SDC4 
CCL5 ,CCR1 
CCL5 ,CXCL5 
CCL5 ,CCR3 
CCL5 ,CCR5 
CCL5 ,IGFBP7 
LOX ,EL52 
LOX ,ANGPT2 
LOX ,CALU 
LOX ,GPC4 
LOX ,STC2 
LOX ,EFEMP2 
LOX ,ALB 
LOX ,ALDOA 
LOX ,SERPINE1 
LOX ,ANXA2 
LOX ,THBS1 
LOX ,ELN 
LOX ,MAG 
LOX ,MSR1 
LOX ,FBN1 
LOX ,DCD 
LOX ,ANKAR 
LOX ,CRISPLD2 
LOX ,FBLN5 
LOX ,ITGA11 
FGFR2 ,FGF1 
PPARG ,NR2B1 
PPARG ,RXRB 
ACVR1 ,THRB 
ACVR1 ,NR2B1 
ACVR1 ,BMP6 
ACVR1 ,ACVR2A 
ACVR1 ,ACVR1B 
ACVR1 ,ACVR1B
ACVR1 ,TGFBR1 
ACVR1 ,TGFBR1
ACVR1 ,ACVR2B 
ACVR1 ,IGSF1 
COL18A1 ,MMP2
COL18A1 ,ITGA5 
COL18A1 ,GPC1 
COL18A1 ,KDR 
COL18A1 ,FBLN2 
IL4 ,IL4R 
IL4 ,IL2RG 
IL4 ,IL13 
IL4 ,IL13RA1 
IL4 ,IL13RA2 
HLA-DRB1 ,HLA-DRA 
HLA-DRB1 ,CD74 
COL6A3 ,ITGB3 
COL6A3 ,ITGB1 
COL6A3 ,ITGA5 
COL6A3 ,COL6A1 
COL6A3 ,COL6A2 
COL6A3 ,ITGA2 
COL6A3 ,ITGA1 
VTN ,ITGB5 
VTN ,TNFRSF11B 
VTN ,F2 
VTN ,PLAU 
VTN ,SERPINC1 
VTN ,KNG1 
VTN ,KNG1
VTN ,EGF 
VTN ,TGFB1 
VTN ,POMC 
VTN ,IGF2 
VTN ,FGG 
VTN ,FGG
VTN ,IGF1
VTN ,ITGB3 
VTN ,SERPINE1 
VTN ,SERPIND1 
VTN ,ITGAV 
VTN ,THBD 
VTN ,THBS1 
VTN ,FGF2 
VTN ,LGALS1 
VTN ,SPARC 
VTN ,HGF 
VTN ,HGF
VTN ,PVR 
VTN ,VEGFA 
VTN ,VEGFA
VTN ,IGFBP3 
VTN ,ITGB6 
VTN ,CD247 
VTN ,IGFBP5 
VTN ,ITGB8 
VTN ,TGFB2 
VTN ,PLAUR 
VTN ,PLAUR
VTN ,C1QBP 
VTN ,PRDX4 
VTN ,SDF4 
VTN ,LACRT 
HLA-B ,CD8A 
HLA-B ,CALR 
HLA-B ,KIR3DL1 
HLA-B ,B2M 
HLA-B ,KLRD1 
HLA-B ,KLRD1
HLA-B ,KIR3DS1 
HLA-B ,LILRB1 
TLR3 ,TRIL 
ACAN ,MMP20 
ACAN ,MMP1 
ACAN ,CTSB 
ACAN ,MMP2
ACAN ,HAPLN1 
ACAN ,MMP8 
ACAN ,MMP14 
ACAN ,FBLN2 
ACAN ,TNR 
ACAN ,MMP19
ACAN ,ADAMTS5 
GP1BA ,GP1BB 
SERPINA1 ,NR2A1 
SERPINA1 ,PLXNB2 
SERPINA1 ,LAMA5 
SERPINA1 ,CRTAP 
SERPINA1 ,HP 
SERPINA1 ,A2M 
SERPINA1 ,PIGR 
SERPINA1 ,APOA1 
SERPINA1 ,FGA 
SERPINA1 ,FGB 
SERPINA1 ,ALB 
SERPINA1 ,TFRC 
SERPINA1 ,TF 
SERPINA1 ,S100A8 
SERPINA1 ,ITGB1 
SERPINA1 ,ITGAV 
SERPINA1 ,KLK3 
SERPINA1 ,CTSD 
SERPINA1 ,PSAP 
SERPINA1 ,GUSB 
SERPINA1 ,ITGA5 
SERPINA1 ,F7 
SERPINA1 ,CLU 
SERPINA1 ,LAMC1 
SERPINA1 ,IGF2R 
SERPINA1 ,FOLR1 
SERPINA1 ,CD44 
SERPINA1 ,M6PR 
SERPINA1 ,COL5A1 
SERPINA1 ,ITGA3 
SERPINA1 ,L1CAM 
SERPINA1 ,FBN1 
SERPINA1 ,BSG 
SERPINA1 ,BTD 
SERPINA1 ,HSPA13 
SERPINA1 ,PPT1 
SERPINA1 ,ATP1B3 
SERPINA1 ,LRP1 
SERPINA1 ,LGALS3BP 
SERPINA1 ,CDSN 
SERPINA1 ,P3H1 
SERPINA1 ,TREML2 
SERPINA1 ,CD276 
SERPINA1 ,SCARB1 
SERPINA1 ,TSPEAR 
SERPINA1 ,SIAE 
SERPINA1 ,MMP26 
SERPINA1 ,PCYOX1 
SERPINA1 ,DPP7 
SERPINA1 ,HYOU1 
SERPING1 ,HEL111 
SERPING1 ,ITGB5 
SERPING1 ,F2 
SERPING1 ,CFD 
SERPING1 ,PLG 
SERPING1 ,PLAT 
SERPING1 ,CFB 
SERPING1 ,CST3 
SERPING1 ,APOA1 
SERPING1 ,APOE 
SERPING1 ,APOA2 
SERPING1 ,APOC2 
SERPING1 ,FN1 
SERPING1 ,AHSG 
SERPING1 ,ALB 
SERPING1 ,PPBP 
SERPING1 ,HPX 
SERPING1 ,KRT1 
SERPING1 ,KLK3 
SERPING1 ,CTSL 
SERPING1 ,F7
SERPING1 ,PF4V1 
SERPING1 ,SELE 
SERPING1 ,ITIH1 
SERPING1 ,NR4A1 
SERPING1 ,ADRA1B 
SERPING1 ,OR3A2 
SERPING1 ,MASP1 
SERPING1 ,DCD 
SERPING1 ,SLC1A5
SERPING1 ,OR2T6 
SERPING1 ,RYR2 
SERPING1 ,OR8D2 
HEL111 ,ITGB5 
HEL111 ,CNMD 
HEL111 ,CNMD
HEL111 ,F2 
HEL111 ,HP 
HEL111 ,CFD 
HEL111 ,PLG 
HEL111 ,CFB 
HEL111 ,CST3 
HEL111 ,APOA1 
HEL111 ,APOE 
HEL111 ,APOA2 
HEL111 ,APOC2 
HEL111 ,FGA 
HEL111 ,C1QA 
HEL111 ,C1QC 
HEL111 ,FN1 
HEL111 ,RBP4 
HEL111 ,AHSG 
HEL111 ,ALB 
HEL111 ,PPBP 
HEL111 ,TF 
HEL111 ,HPX 
HEL111 ,KRT1 
HEL111 ,SERPIND1 
HEL111 ,GSN 
HEL111 ,KLK3 
HEL111 ,CTSL 
HEL111 ,NGFR 
HEL111 ,CFH 
HEL111 ,F7 
HEL111 ,F7
HEL111 ,C4A 
HEL111 ,PF4V1 
HEL111 ,CLU 
HEL111 ,FGFR1 
HEL111 ,ELN 
HEL111 ,ITIH1 
HEL111 ,RYR1 
HEL111 ,RYR1
HEL111 ,AOAH 
HEL111 ,PRSS3 
HEL111 ,ADRA1B 
HEL111 ,SAA4 
HEL111 ,OR3A2 
HEL111 ,TGM4 
HEL111 ,GDF10 
HEL111 ,DCD 
HEL111 ,DDR1 
HEL111 ,PAPPA 
HEL111 ,ICAM4 
HEL111 ,AGER
HEL111 ,SLC1A5
HEL111 ,LTBP4 
HEL111 ,OR2T6 
HEL111 ,SMPDL3A 
HEL111 ,RYR2 
HEL111 ,SDF4 
HEL111 ,OR8D2 
HEL111 ,GABBR1 
PLSCR4 ,Q9H3D5
NR1H3 ,NR2B1 
NR1H3 ,RXRG 
NR3A2 ,OXT 
NR3C1 ,NR2F6 
NR3C1 ,EL52 
NR3C1 ,TGFB1I1 
NR3C1 ,CD4 
NR3C1 ,MMP1 
NR3C1 ,CSF2 
NR3C1 ,IL5 
NR3C1 ,NR3C2 
NR3C1 ,IGFBP1 
NR3C1 ,CXCL8 
NR3C1 ,CLU 
NR3C1 ,GZMA 
NR3C1 ,CCL2 
NR3C1 ,IDE 
NR3C1 ,NR4A1 
NR3C1 ,CALR 
NR3C1 ,MMP13 
NR3C1 ,CCL11 
NR3C1 ,CCL7 
NR3C1 ,NTRK2 
NR3C1 ,PTPRN2 
NR3C1 ,GRIP1 
NR3C4 ,NR0B1 
NR3C4 ,NR2C2 
NR3C4 ,ESR1 
NR3C4 ,H9NIM3
NR3C4 ,EL52 
NR3C4 ,TGFB1I1
NR3C4 ,EGFR 
NR3C4 ,HMGB1 
NR3C4 ,IDE 
NR3C4 ,KLK2
NR3C4 ,CALR 
NR3C4 ,AHR 
NR3C4 ,IL6ST
NR3C4 ,RUNX1
NR3C4 ,APOL2 
NR3C4 ,GRIP1
NR4A2 ,NR2B1 
NR4A2 ,RXRB 
THRB ,NR2B1 
THRB ,NR2F6 
THRB ,RXRG 
THRB ,RARA 
THRB ,RXRB 
NR1B3 ,NR2B1 
NR1B3 ,RXRG 
NR1B3 ,RXRB 
NR0B1 ,ESRRA
NR0B1 ,RORA
NR1H2 ,RXRG 
NR1i1 ,NR2B1 
NR1i1 ,NR2B3 
NR1i1 ,RXRG 
NR1i1 ,RXRB 
NR1i1 ,NR0B2 
NR1i1 ,MMRN2 
NR2A2 ,NR0B2 
NR2B1 ,PPARG 
NR2B1 ,NR1I2
NR2B1 ,RARA 
NR2B1 ,THRA 
NR2B1 ,IGFBP3 
NR2B1 ,ACVR1B 
NR2B1 ,NR1I3
NR2B1 ,NR1I3
NR2B3 ,NR1B2 
NR2B3 ,NR1I2
NR2B3 ,RARA 
NR2B3 ,NR4A1 
NR2B3 ,NR1H2 
NR2E3 ,NR1D1 
NR2E3 ,RARA 
NR2E3 ,RXRB 
NR2F2 ,NR2F6 
NR1C1 ,EL52 
NR1C1 ,RXRA 
NR1B2 ,RXRB 
NR1C2 ,RXRG 
NR1C2 ,RXRB 
TSHR ,CALR 
SCARB1 ,APOA1 
SCARB1 ,APOE 
FGFR4 ,EL52 
FGFR4 ,AIP 
FGFR4 ,FGF1 
FGFR4 ,FGF2 
FGFR4 ,FGF6 
FGFR4 ,MMP14 
MST1 ,MST1R 
ESR1 ,H9NIM3
ESR1 ,EL52 
ESR1 ,EGFR 
ESR1 ,ERBB2
ESR1 ,APOD 
ESR1 ,GSN 
ESR1 ,PGR 
ESR1 ,LAMB1 
ESR1 ,IGF1R 
ESR1 ,RARA 
ESR1 ,NR2F1 
ESR1 ,ESRRA
ESR1 ,PIP 
ESR1 ,BDNF 
ESR1 ,HPCAL1 
ESR1 ,HNF4A
ESR1 ,SEMG2 
ESR1 ,PLA2G7 
ESR1 ,ESR2 
ESR1 ,TNFRSF14 
ESR1 ,NR1H4 
ESR1 ,IL25 
ESR1 ,GRIP1 
ESR1 ,GRIP1
EECP ,ANXA1 
EECP ,PIP 
EPO ,EPOR 
SNCA ,KLK6
INS ,HLA-DQA2 
INS ,INSR 
INS ,CTSB 
INS ,IDE 
INS ,IGFBP7 
INS ,HLA-DQB1 
MIF ,EL52 
MIF ,APOE 
MIF ,TFRC 
MIF ,ALDOA 
MIF ,CD74 
MIF ,CD74
MIF ,CD74
MIF ,KRT1 
MIF ,S100A8 
MIF ,ITGB1 
MIF ,GPI 
MIF ,CTSD 
MIF ,ANXA2 
MIF ,ITGA5 
MIF ,RPSA 
MIF ,HMGB1 
MIF ,CTSH 
MIF ,IGF2R 
MIF ,ITGA4 
MIF ,PKM 
MIF ,NME1 
MIF ,VCAM1 
MIF ,HMGB2 
MIF ,CALR 
MIF ,S100A7 
MIF ,PPT1 
MIF ,C1QBP 
MIF ,TNFRSF14 
MIF ,AP2M1 
MIF ,NISCH 
GPC3 ,IGF2 
GPC3 ,FGF2 
GPC3 ,WNT3A 
GPC3 ,WNT7B 
SEMA4B ,PLXNB1 
KIR2DS1 ,HLA-C 
KIR2DS2 ,HLA-C 
KIR2DS2 ,TYROBP 
KIR2DS2 ,TYROBP
EL52 ,AIP 
EL52 ,LAD1 
EL52 ,TOR1A 
EL52 ,ANGPT2 
EL52 ,CALU 
EL52 ,GPC4 
EL52 ,EGFR 
EL52 ,C3 
EL52 ,CD4 
EL52 ,AHSG 
EL52 ,ALB 
EL52 ,TFRC 
EL52 ,ALDOA 
EL52 ,ANXA1 
EL52 ,KRT1 
EL52 ,ERBB2 
EL52 ,ERBB2
EL52 ,APP 
EL52 ,APP
EL52 ,S100A8 
EL52 ,ITGB1 
EL52 ,P4HB 
EL52 ,CTSD 
EL52 ,ANXA2 
EL52 ,THBS1 
EL52 ,MMP2 
EL52 ,ANXA5 
EL52 ,RPSA 
EL52 ,TACSTD2 
EL52 ,CLU 
EL52 ,GZMA 
EL52 ,CDH1 
EL52 ,PKM 
EL52 ,HSP90B1 
EL52 ,CD44 
EL52 ,ITGB4 
EL52 ,ITGA2 
EL52 ,M6PR 
EL52 ,MAG 
EL52 ,MSR1 
EL52 ,ERBB3 
EL52 ,GRK2 
EL52 ,S100A4 
EL52 ,CALR 
EL52 ,GRN 
EL52 ,EPHA3 
EL52 ,PRDX5 
EL52 ,BSG 
EL52 ,AHR 
EL52 ,TXLNA 
EL52 ,GRIA4 
EL52 ,MASP1 
EL52 ,HNRNPM 
EL52 ,ATP1B3 
EL52 ,VCP 
EL52 ,B2M 
EL52 ,DCD 
EL52 ,GUCY1A1
EL52 ,C1QBP 
EL52 ,LGALS3BP 
EL52 ,TRAF2 
EL52 ,PRDX4 
EL52 ,MMRN1 
EL52 ,PON2 
EL52 ,SLC1A5 
EL52 ,P3H1 
EL52 ,HSD17B12 
EL52 ,NXPE4 
EL52 ,SV2A 
EL52 ,ANKAR 
EL52 ,LSR 
EL52 ,SERPINA12 
EL52 ,GPR161 
EL52 ,NAXE 
EL52 ,MYDGF 
EL52 ,AP2M1 
EL52 ,SDF4 
EL52 ,CRISPLD2 
EL52 ,S100A14 
EL52 ,TFIP11 
EL52 ,PCYOX1 
EL52 ,STOML2 
EL52 ,ITGA11 
EL52 ,NISCH 
EL52 ,HYOU1 
IFNA1 ,IFNAR1 
IFNA1 ,CR2 
IFNA1 ,IFNAR2 
IFNA1 ,IL2 
FLT1 ,NRP1 
FLT1 ,VEGFA 
FLT1 ,VEGFA
FLT1 ,VEGFA
FLT1 ,PTPRB 
FLT1 ,KDR 
FLT1 ,PGF 
FLT1 ,PGF
FLT1 ,VEGFB 
FLT1 ,PTPRJ 
ITGB5 ,CCN1 
ITGB5 ,F2 
ITGB5 ,CFD 
ITGB5 ,CFB 
ITGB5 ,CST3 
ITGB5 ,APOA1 
ITGB5 ,APOE 
ITGB5 ,APOA2 
ITGB5 ,APOC2 
ITGB5 ,FN1 
ITGB5 ,AHSG 
ITGB5 ,ALB 
ITGB5 ,PPBP 
ITGB5 ,HPX 
ITGB5 ,KRT1 
ITGB5 ,ITGB1 
ITGB5 ,ITGB1
ITGB5 ,ITGAV 
ITGB5 ,KLK3 
ITGB5 ,CTSL 
ITGB5 ,ITGA5 
ITGB5 ,F7
ITGB5 ,ANXA5 
ITGB5 ,SPP1 
ITGB5 ,PF4V1 
ITGB5 ,ITIH1 
ITGB5 ,ADRA1B 
ITGB5 ,P2RY2 
ITGB5 ,DCC 
ITGB5 ,OR3A2 
ITGB5 ,DCD 
ITGB5 ,PLAUR 
ITGB5 ,PLAUR
ITGB5 ,ADAM9 
ITGB5 ,ADAM9
ITGB5 ,LTBP1 
ITGB5 ,ICAM4 
ITGB5 ,ICAM4
ITGB5 ,SLC1A5
ITGB5 ,OR2T6 
ITGB5 ,RYR2 
ITGB5 ,ANGPTL4 
ITGB5 ,OR8D2 
ITGB5 ,LTBP3 
ITGB5 ,LTBP3
OLFML3 ,MYOC 
BMP5 ,FST
BMP5 ,NOG 
